QUANTIDADE;EMPREENDIMENTO;RA
12112; Itapoã Parque; ITAPOÃ
8908; Parque dos Ipês - Crixá: 1904 + Alto Mangueiral: 7004; SÃO SEBASTIÃO
7004; Alto Mangueiral; SÃO SEBASTIÃO@
13020; Remas 117/118: 530 + Super Quadras Recanto: 6000 + Reserva do Parque: 7020; RECANTO DAS EMAS
6000; Super Quadras Recanto; RECANTO DAS EMAS@
7020;Reserva do Parque; RECANTO DAS EMAS@
421; Residencial Iohana Reis: 57 + Residencial Julieta I e II: 144 + Residencial Josefa Neri: 56 + Residencial Prado e Basílio: 54 + Residencial Kesia: 56 + Residencial Lucio Mauro: 54; SAMAMBAIA
144; Residencial Julieta I e II; SAMAMBAIA@
56; Residencial Josefa Neri; SAMAMBAIA@
54; Residencial Prado e Basílio;SAMAMBAIA@
56; Residencial Kesia; SAMAMBAIA@
54; Residencial Lucio Mauro; SAMAMBAIA@
178; Residencial Safira: 89 + Residencial Turmalina: 89; SANTA MARIA
89; Residencial Turmalina; SANTA MARIA@
129; Residencial Pedular: 44 + Res. JHP Araujo: 85; RIACHO FUNDO
85;Res. JHP Araujo; RIACHO FUNDO@
556;Sol Nascente Qd 105 Trecho II; SOL NASCENTE/PÔR DO SOL